account,opp,stage,forecasted,fc,amount,close,pinned,verdict,win_old,win_new,mom_old,mom_new,fc_conf,risk,commit,ceiling,qual_cap,override,win_reasons,mom_reasons,note
Elbe Flugzeugwerke GmbH,EFW_DE_S2C,Formal Evaluation,False,Pipeline,500000.0,2026-12-27,False,Slowing,5.0,5.0,25.0,25.0,0.0,11.7,49.6,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -27.0: momentum 25 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'final decision' in Next-Step/narrative | trend_nudge -4.0: recent CRM moves: close pushed 303d | preference -3.0: preference strength -0.50 (weight 20) | business_case -1.5: business case strength -0.50 (weight 10),close_date_direction -12.0: Close date 2026-02-27 -> 2026-12-27 (pushed out 303d) — 303d cumulative push is beyond tolerance | stalling -6.3: last genuine buyer touch 32d ago vs the ~21d cadence this stage needs — going quiet | engagement +0.4: engagement points 0.4 (type × buyer/rep × recency over 60d) | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
JPMorgan Chase & Co,JPMC S2O 2026,Qualified,False,Pipeline,500000.0,2027-02-26,False,Slowing,13.8,13.8,58.0,58.0,6.8,13.6,44.2,30.0,60 by champion=gap,False,momentum_adj +4.0: momentum 58 vs stage-expected 50 | differentiation -3.0: differentiation strength -0.50 (weight 20) | preference -3.0: preference strength -0.50 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | business_case -1.5: business case strength -0.50 (weight 10) | exec_access +1.4: exec access strength +0.30 (weight 15),engagement +8.0: buyer touched the deal 13d ago (buyer reply) — freshness floor,
The Ministry of Finance,MOF_SF_S2C,Qualified,False,Pipeline,500000.0,2027-01-25,False,Slowing,5.0,5.0,25.0,25.0,0.0,9.1,33.5,30.0,74 by access to power (economic buyer)=partial,False,momentum_adj -25.0: momentum 25 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'automation' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion +1.4: champion strength +0.30 (weight 15) | exec_access +1.4: exec access strength +0.30 (weight 15) | trend_nudge -1.4: recent CRM moves: close pushed 31d,"stalling -13.6: last genuine buyer touch 64d ago vs the ~30d cadence this stage needs — going quiet | next_step_plan +4.0: 1 upcoming milestone(s), nearest 2026-07-21 — live advancing plan | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b",
AES Corporation,AES_2025,Formal Evaluation,False,Pipeline,500000.0,2026-09-30,False,Slowing,5.0,5.0,25.0,25.0,0.0,13.6,54.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -27.0: momentum 25 vs stage-expected 52 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | preference -3.0: preference strength -0.50 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | business_case -1.5: business case strength -0.50 (weight 10),stalling -25.0: last genuine buyer touch 120d ago vs the ~21d cadence this stage needs — going quiet | engagement +3.0: engagement points 3.0 (type × buyer/rep × recency over 60d) | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
PROVINCIAL TREASURY - GAUTENG,Provincial Treasury S2P - Opp,Formal Evaluation,False,Pipeline,475000.0,2027-04-01,False,Off Track,21.6,18.6,38.0,35.0,8.8,7.9,29.5,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -17.0: momentum 35 vs stage-expected 52 | differentiation +5.1: differentiation strength +0.85 (weight 20) — from Next-Step/narrative: 'inefficien' in Next-Step/narrative | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +2.2: competitive strength +0.50 (weight 15),stalling -12.0: no activity instrumentation on this record yet (cadence reads fully after its next sweep) — Salesforce shows a | verdict_reconcile -3.0: the deal's own verdict is 'Off Track' — momentum cannot read hotter than the holistic judgment; capped at 35,
KEPPEL INFRASTRUCTURE HOLDINGS PTE. LTD.,keppel Group level,Qualified,False,Pipeline,450000.0,2027-01-01,False,Slowing,30.0,30.0,64.0,60.0,25.3,13.6,54.7,30.0,52 by access to power (economic buyer)=gap,False,"trend_nudge +6.0: recent CRM moves: stage advanced, amount up | momentum_adj +5.0: momentum 60 vs stage-expected 50 | competitive -4.5: competitive strength -1.00 (weight 15) | preference -2.4: preference strength -0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | amount_trend +2.0: amount trend +0.82",engagement +8.0: buyer touched the deal 12d ago (buyer reply) — freshness floor | progression +6.0: stage trend: moved UP recently — deal advancing | verdict_reconcile -4.0: the deal's own verdict is 'Slowing' — momentum cannot read hotter than the holistic judgment; capped at 60,
Hong Kong Aircraft Engineering Company Limited,HAECO_HK_S2P,Formal Evaluation,True,Best Case,450000.0,2026-08-30,False,At Risk,43.5,43.5,66.0,66.0,32.3,28.1,54.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj +7.0: momentum 66 vs stage-expected 52 | differentiation +6.0: differentiation strength +1.00 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | competitive +0.9: competitive strength +0.20 (weight 15),"engagement +8.0: buyer touched the deal 6d ago (buyer reply) — freshness floor | next_step_plan +8.0: 1 upcoming milestone(s), nearest 2026-09-30 — live advancing plan",
John Deere,JD_Merlin+AgenticAI_2025,Shortlisted,False,Best Case,450000.0,2027-02-22,False,At Risk,52.0,52.0,88.0,88.0,47.0,16.8,44.2,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj +16.0: momentum 88 vs stage-expected 56 | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | competitive +0.9: competitive strength +0.20 (weight 15),"engagement +30.0: engagement points 30.0 (type × buyer/rep × recency over 60d) | next_step_plan +8.0: 1 upcoming milestone(s), nearest 2026-07-20 — live advancing plan",
Cornell University,Cornell_Opp_Feb'26,Shortlisted,False,Upside Key Deal,450000.0,2026-10-28,False,At Risk,27.1,27.1,28.5,28.5,17.1,16.8,54.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -27.5: momentum 28 vs stage-expected 56 | preference -2.4: preference strength -0.40 (weight 20) | exec_access -2.2: exec access strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | champion +1.4: champion strength +0.30 (weight 15) | competitive +0.9: competitive strength +0.20 (weight 15),stalling -25.0: last genuine buyer touch 126d ago vs the ~30d cadence this stage needs — going quiet | engagement +3.5: engagement points 3.5 (type × buyer/rep × recency over 60d),
DOMINO'S PIZZA ENTERPRISES LIMITED,Domino's S2C + ANA,Formal Evaluation,True,Pipeline,450000.0,2026-08-28,False,Close Date Risk,66.8,66.8,90.0,90.0,72.5,0.0,54.7,70.0,74 by access to power (economic buyer)=partial,False,momentum_adj +19.0: momentum 90 vs stage-expected 52 | scope_reduced -7.0: scope narrowed vs prior — 3 Jun 2026 call confirmed the POC excludes food/paper; 3 Jul 2026 call recommended n | differentiation +6.0: differentiation strength +1.00 (weight 20) | champion +4.5: champion strength +1.00 (weight 15) | trend_nudge +2.0: recent CRM moves: close pulled in | preference -1.8: preference strength -0.30 (weight 20),engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d) | close_date_direction +5.0: Close date 2026-10-30 -> 2026-08-28 (pulled in 63d) — accelerating,
The Hong Kong Jockey Club,HKJC_S2P,Formal Evaluation,False,Pipeline,450000.0,2026-11-30,False,Close Date Risk,52.0,52.0,85.0,85.0,46.6,16.8,44.2,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj +16.5: momentum 85 vs stage-expected 52 | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cfo' in Next-Step/narrative | preference +3.0: preference strength +0.50 (weight 20) | trend_nudge +2.0: recent CRM moves: amount up | differentiation +1.8: differentiation strength +0.30 (weight 20) | amount_trend +1.7: amount trend +0.68,engagement +35.0: engagement points 35.0 (type × buyer/rep × recency over 60d),
Greencore Group,Greencore_s2p_2026,Qualified,True,Pipeline,450000.0,2026-04-12,False,Close Date Risk,30.0,30.0,63.3,63.3,13.3,34.3,44.2,30.0,52 by access to power (economic buyer)=gap,False,"trend_nudge +8.0: recent CRM moves: stage advanced, amount up, close pulled in | momentum_adj +6.6: momentum 63 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'manual process' in Next-Step/narrative | champion +4.5: champion strength +1.00 (weight 15) — from Next-Step/narrative: 'champion' in Next-Step/narrative | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | exec_access -2.2: exec access strength -0.50 (weight 15)",progression +6.0: stage trend: moved UP recently — deal advancing | close_date_direction +5.0: Close date 2027-04-12 -> 2026-04-12 (pulled in 365d) — accelerating | engagement +4.7: engagement points 4.7 (type × buyer/rep × recency over 60d) | stalling -2.4: last genuine buyer touch 36d ago vs the ~30d cadence this stage needs — going quiet,
Austrian Post,Austrian Post 2025  - S2P and Intake,Shortlisted,True,Upside Key Deal,448680.0,2026-07-23,True,Slowing,58.2,58.2,56.7,56.7,54.8,13.6,63.2,70.0,86 by champion=partial,False,"differentiation +6.0: differentiation strength +1.00 (weight 20) — from MEDDPICC: Fragmented procurement landscape → high manual eff | trend_nudge -6.0: recent CRM moves: forecast downgraded, amount cut, close pushed 23d | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | preference +3.0: preference strength +0.50 (weight 20) — from Next-Step/narrative: 'preference for zycus' in Next-Step/narrativ | forecast_category_trend -2.1: forecast category trend -0.58 | close_date_trend -1.5: close date trend -0.61","engagement +22.7: engagement points 34.4 on the RFP process clock (month-old deliverable work keeps weight) — discounted ×0.66 ( | regression -10.0: forecast category trend: moved DOWN recently — forecast/stage cut, deal regressing | scope_cut -6.0: deal size cut recently (Amount 650000 -> 448680 (11d ago)) — contracting, not advancing",
"Bass Pro, LLC",BassPro_[P2P]March'26,Shortlisted,True,Upside Key Deal,445200.0,2026-07-30,False,Close Date Risk,52.0,52.0,50.6,50.6,40.8,24.4,54.7,52.0,52 by access to power (economic buyer)=gap,False,"differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'pain point' in Next-Step/narrative | momentum_adj -5.4: momentum 51 vs stage-expected 56 | champion +4.5: champion strength +1.00 (weight 15) | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | trend_nudge -3.3: recent CRM moves: amount cut, close pushed 30d | preference +2.4: preference strength +0.40 (weight 20)","engagement +6.6: buyer touched the deal 9d ago (meeting) — freshness floor — discounted ×0.82 (deal trending DOWN on 1 axis) | scope_cut -6.0: deal size cut recently (Amount 556500 -> 445200 (24d ago)) — contracting, not advancing",
Easa Saleh Al Gurg Group,Easa Saleh Al Gurg Group_P2P_2026,Qualified,False,Pipeline,400000.0,2026-10-12,False,Slowing,5.0,5.0,25.0,25.0,0.0,13.6,54.7,30.0,52 by access to power (economic buyer)=gap,False,momentum_adj -25.0: momentum 25 vs stage-expected 50 | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cio' in Next-Step/narrative | champion -2.2: champion strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20) | preference -1.8: preference strength -0.30 (weight 20) | competitive +0.9: competitive strength +0.20 (weight 15),stalling -25.0: last genuine buyer touch 111d ago vs the ~30d cadence this stage needs — going quiet | false_velocity +0.0: activity without progression — busy next-step log but the deal is slipping (close pushed / confidence down / b,
Anora Group Plc,Anora_S2P_2025,Formal Evaluation,False,Pipeline,400000.0,2026-12-31,False,Slowing,22.2,16.2,43.6,37.6,8.9,13.6,54.7,52.0,52 by access to power (economic buyer)=gap,False,momentum_adj -14.4: momentum 38 vs stage-expected 52 | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | trend_nudge -4.0: recent CRM moves: close pushed 122d | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'business case' in Next-Step/narrative | competitive -2.2: competitive strength -0.50 (weight 15) | differentiation +1.8: differentiation strength +0.30 (weight 20),close_date_direction -11.2: Close date 2026-08-31 -> 2026-12-31 (pushed out 122d) — 122d cumulative push is beyond tolerance | stalling -8.0: last genuine buyer touch 35d ago vs the ~21d cadence this stage needs — going quiet | engagement +6.8: engagement points 6.8 (type × buyer/rep × recency over 60d),
ZS,ZS_S2P_2026,Qualified,False,Pipeline,400000.0,2026-12-11,False,On Track,30.0,30.0,64.0,64.0,32.6,0.0,54.7,30.0,52 by access to power (economic buyer)=gap,False,"momentum_adj +7.0: momentum 64 vs stage-expected 50 | differentiation +6.0: differentiation strength +1.00 (weight 20) — from Next-Step/narrative: 'consolidat' in Next-Step/narrative | trend_nudge +6.0: recent CRM moves: stage advanced, amount up | exec_access +4.5: exec access strength +1.00 (weight 15) — from Next-Step/narrative: 'cfo' in Next-Step/narrative | competitive -4.5: competitive strength -1.00 (weight 15) | business_case +3.0: business case strength +1.00 (weight 10) — from Next-Step/narrative: 'roi' in Next-Step/narrative",engagement +8.0: buyer touched the deal 2d ago (meeting) — freshness floor | progression +6.0: stage trend: moved UP recently — deal advancing,
FGV Holdings Berhad,FGV Holdings Berhad,Formal Evaluation,False,Pipeline,400000.0,2026-11-20,False,Slowing,33.3,33.3,57.9,57.9,26.4,11.7,39.9,52.0,52 by access to power (economic buyer)=gap,False,exec_access +3.8: exec access strength +0.85 (weight 15) — from Next-Step/narrative: 'cpo' in Next-Step/narrative | momentum_adj +2.9: momentum 58 vs stage-expected 52 | differentiation -2.4: differentiation strength -0.40 (weight 20) | preference -2.4: preference strength -0.40 (weight 20) | champion -2.2: champion strength -0.50 (weight 15) | business_case -1.5: business case strength -0.50 (weight 10),"next_step_plan +8.0: 2 upcoming milestone(s), nearest 2026-08-16 — live advancing plan | stalling -1.1: last genuine buyer touch 23d ago vs the ~21d cadence this stage needs — going quiet | engagement +1.0: engagement points 1.0 (type × buyer/rep × recency over 60d)",
